name,address,lat,lon,Website,Google Categories,Place ID,Status,profile_url,osm_id,fclass,county,COUNTYFP,house_number,street,city,zipcode,full_address,Unnamed: 0,latitude,longitude,oid,geoid,state,farm_id,farm_name,street_address,zip_code,latitude ,date_collected,website,geometry,index_right,MTFCC,OID,GEOID,STATE,COUNTY,COUNTYNS,BASENAME,NAME,LSADC,FUNCSTAT,COUNTYCC,AREALAND,AREAWATER,OBJECTID,CENTLAT,CENTLON,INTPTLAT,INTPTLON
San Antonio Botanical Garden,"555 Funston Pl, San Antonio, TX 78209, USA",29.4576699,-98.4574396,https://sabgtx.org/,"establishment, point_of_interest, tourist_attraction",ChIJZeWSYrz1XIYR7_h51WlHYSQ,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alamo Heights Farmers Market,"255 E Basse Rd #130, San Antonio, TX 78209, USA",29.4955927,-98.4812173,https://alamoheightsfm.com/,"establishment, point_of_interest",ChIJVRHPLV71XIYRd2kWqJJstTI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Green Bexar Farm,"14997 FM 1346, St Hedwig, TX 78152, USA",29.3788453,-98.1879184,https://www.greenbexarfarm.com/,"establishment, point_of_interest",ChIJN1dYeNjpXIYRdifzW-PEndI,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market Plaza Center,"151 S San Saba St, San Antonio, TX 78207, USA",29.4252213,-98.50031,Not listed,"establishment, point_of_interest, shopping_mall",ChIJzRsrr0xfXIYRMO4W5GZS06w,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Braunfels Farmers Market,"186 S Castell Ave, New Braunfels, TX 78130, USA",29.7012623,-98.1246797,http://www.nbfarmersmarket.com/,"bakery, establishment, food, grocery_or_supermarket, point_of_interest, store",ChIJtdeJsm69XIYRhB0Wat_6V9w,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fanick's Garden Center,"1025 Holmgreen Rd, San Antonio, TX 78220, USA",29.4070805,-98.3991807,http://www.fanicknursery.com/,"establishment, general_contractor, point_of_interest, store",ChIJ_4zwicr2XIYRh_fSfHqpkS8,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evergreen Garden Center,"922 W Hildebrand Ave, San Antonio, TX 78201, USA",29.4661622,-98.5088132,http://www.evergreengardencenter.com/,"establishment, point_of_interest, store",ChIJd1euCQtfXIYRN22AZ_2lH58,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yanaguana Garden at Hemisfair,"434 S Alamo St, San Antonio, TX 78205, USA",29.4195662,-98.4878609,http://hemisfair.org/,"establishment, park, point_of_interest, tourist_attraction",ChIJK-t_YalYXIYRkOPpsPcq2_U,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westover Marketplace,"8327 Raymond E. Stotzer Jr. Freeway, TX-151, San Antonio, TX 78245, USA",29.4386092,-98.6512717,Not listed,"establishment, point_of_interest, shopping_mall",ChIJtwCRjMdcXIYRA0K89kNhS70,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commerce Flea Market,"223 Enrique M. Barrera Pkwy, San Antonio, TX 78237, USA",29.4310409,-98.5640179,Not listed,"establishment, point_of_interest",ChIJZTHUNHJfXIYRm9wxX1DFT7k,Pending Review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
