Record_ID,Store_Name,Store_Street_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,ObjectId
1319502,White Rock Farmers Market,9044 Santa Clara Dr,Dallas,TX,75218,4137,DALLAS,Farmers and Markets,32.824654,-96.704453,127480
1181286,Walmart Neighborhood Market 7224,350 N Bluegrove Rd,Lancaster,TX,75146,    ,DALLAS,Super Store,32.59071,-96.787392,128447
1181288,Walmart Neighborhood Market 7232,108 W Parkerville Rd,Desoto,TX,75115,8074,DALLAS,Super Store,32.575245,-96.857178,128455
1283878,Sprouts Farmers Market 149,7110 Skillman St,Dallas,TX,75231,5652,DALLAS,Supermarket,32.87606,-96.734711,128466
1207130,Sam's Club 6376,4062 LBJ Freeway,Dallas,TX,75244,    ,DALLAS,Super Store,32.924095,-96.839737,129159
1525572,Palms African Foodmart,2661 Midway Rd,Carrollton,TX,75006,2368,DALLAS,Grocery Store,32.986732,-96.843925,129501
1526516,Food Basket 25,3540 Simpson Stuart Rd,Dallas,TX,75241,4251,DALLAS,Supermarket,32.672798,-96.761284,129566
1208080,Whole Foods Market 10505,2510 McKinney Ave,Dallas,TX,75201,1909,DALLAS,Super Store,32.795353,-96.80201,130158
1185510,Trader Joe's 401,7939 Walnut Hill Ln,Dallas,TX,75230,    ,DALLAS,Supermarket,32.880157,-96.771767,132228
1349134,Tom Thumb 3296,2380 N Field St,Dallas,TX,75201,    ,DALLAS,Supermarket,32.789066,-96.806854,132318
1588910,La Carreta Meat Market 1,11501 Elam Rd,Balch Springs,TX,75180,2707,DALLAS,Super Store,32.719952,-96.628052,132327
1367374,La Super Economica 6,2402 Gus Thomasson Rd,Dallas,TX,75228,3007,DALLAS,Grocery Store,32.83469,-96.674469,133391
1395270,La Michoacana Meat Market,2441 W Walnut St,Garland,TX,75042,6668,DALLAS,Super Store,32.916424,-96.664894,134174
1324785,Komart Market Place,2240 Royal Ln,Dallas,TX,75229,7817,DALLAS,Super Store,32.895481,-96.903389,134246
1323668,Tom Thumb 5803,2713 Live Oak St,Dallas,TX,75204,5729,DALLAS,Supermarket,32.789108,-96.789169,134565
1325425,Grocery Services North 7,8202 Spring Valley Rd,Dallas,TX,75240,4004,DALLAS,Grocery Store,32.939117,-96.763474,135304
867442,Foodland Markets 51,8411 Lake June Rd,Dallas,TX,75217,2138,DALLAS,Super Store,32.73505,-96.675392,135850
1300980,Lmmm Dallas 41 Ltd. 41,2600 S Zang Blvd,Dallas,TX,75224,2816,DALLAS,Supermarket,32.716351,-96.830177,136651
864658,El Ahorro Supermarket 12,201 S Rogers Rd,Irving,TX,75060,2608,DALLAS,Super Store,32.814182,-96.963493,137659
1396765,Cox Farms Market 3,13091 Bee Street,Farmers Branch,TX,75234,    ,DALLAS,Grocery Store,32.923107,-96.895828,137963
1396877,Sprouts Farmers Market 155,1220 N Town East Blvd,Mesquite,TX,75150,7665,DALLAS,Supermarket,32.809177,-96.61367,137999
1371256,El Rancho 1640,3535 N Belt Line Rd,Irving,TX,75062,7804,DALLAS,Super Store,32.855293,-96.992287,138103
1370755,El Centro Meat Market,5614 E R L Thornton Fwy,Dallas,TX,75223,1908,DALLAS,Grocery Store,32.790947,-96.745705,138880
1329196,El Rancho 1633,2506 S Belt Line Rd,Grand Prairie,TX,75052,5342,DALLAS,Super Store,32.708447,-96.994156,140333
1359826,Viva Foods,535 N Plano Rd,Garland,TX,75042,5909,DALLAS,Grocery Store,32.917709,-96.700401,141705
